year,databank.value,country.name,series.name
1998,24.8974003,Canada,Individuals using the Internet (% of population)
1998,0.39,Canada,Pump price for diesel fuel (US$ per liter)
1998,75.88275617826282,Canada,Fossil fuel energy consumption (% of total)
1998,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
1999,36.18644004,Canada,Individuals using the Internet (% of population)
1999,NA,Canada,Pump price for diesel fuel (US$ per liter)
1999,75.63775472582364,Canada,Fossil fuel energy consumption (% of total)
1999,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2000,51.3,Canada,Individuals using the Internet (% of population)
2000,0.47,Canada,Pump price for diesel fuel (US$ per liter)
2000,76.10257181165409,Canada,Fossil fuel energy consumption (% of total)
2000,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2001,60.2,Canada,Individuals using the Internet (% of population)
2001,NA,Canada,Pump price for diesel fuel (US$ per liter)
2001,76.15495344009172,Canada,Fossil fuel energy consumption (% of total)
2001,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2002,61.59329927,Canada,Individuals using the Internet (% of population)
2002,0.43,Canada,Pump price for diesel fuel (US$ per liter)
2002,75.16336686415079,Canada,Fossil fuel energy consumption (% of total)
2002,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2003,64.2,Canada,Individuals using the Internet (% of population)
2003,NA,Canada,Pump price for diesel fuel (US$ per liter)
2003,76.54703876546589,Canada,Fossil fuel energy consumption (% of total)
2003,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2004,65.95596346,Canada,Individuals using the Internet (% of population)
2004,0.68,Canada,Pump price for diesel fuel (US$ per liter)
2004,75.19713564763006,Canada,Fossil fuel energy consumption (% of total)
2004,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2005,71.66,Canada,Individuals using the Internet (% of population)
2005,NA,Canada,Pump price for diesel fuel (US$ per liter)
2005,75.18780463520437,Canada,Fossil fuel energy consumption (% of total)
2005,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2006,72.4,Canada,Individuals using the Internet (% of population)
2006,0.78,Canada,Pump price for diesel fuel (US$ per liter)
2006,74.62917515421806,Canada,Fossil fuel energy consumption (% of total)
2006,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2007,73.2,Canada,Individuals using the Internet (% of population)
2007,NA,Canada,Pump price for diesel fuel (US$ per liter)
2007,75.033376291108965,Canada,Fossil fuel energy consumption (% of total)
2007,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2008,76.7,Canada,Individuals using the Internet (% of population)
2008,0.9,Canada,Pump price for diesel fuel (US$ per liter)
2008,75.00847732689245,Canada,Fossil fuel energy consumption (% of total)
2008,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2009,80.3,Canada,Individuals using the Internet (% of population)
2009,NA,Canada,Pump price for diesel fuel (US$ per liter)
2009,75.04116532149322,Canada,Fossil fuel energy consumption (% of total)
2009,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2010,80.3,Canada,Individuals using the Internet (% of population)
2010,1.08,Canada,Pump price for diesel fuel (US$ per liter)
2010,75.38574156997939,Canada,Fossil fuel energy consumption (% of total)
2010,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2011,83,Canada,Individuals using the Internet (% of population)
2011,NA,Canada,Pump price for diesel fuel (US$ per liter)
2011,74.67382462501455,Canada,Fossil fuel energy consumption (% of total)
2011,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2012,83,Canada,Individuals using the Internet (% of population)
2012,1.23,Canada,Pump price for diesel fuel (US$ per liter)
2012,74.4064369010716,Canada,Fossil fuel energy consumption (% of total)
2012,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2013,85.8,Canada,Individuals using the Internet (% of population)
2013,NA,Canada,Pump price for diesel fuel (US$ per liter)
2013,73.17075468151255,Canada,Fossil fuel energy consumption (% of total)
2013,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2014,87.12,Canada,Individuals using the Internet (% of population)
2014,1.16,Canada,Pump price for diesel fuel (US$ per liter)
2014,73.39591223366307,Canada,Fossil fuel energy consumption (% of total)
2014,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2015,88.47,Canada,Individuals using the Internet (% of population)
2015,NA,Canada,Pump price for diesel fuel (US$ per liter)
2015,73.5920794942438,Canada,Fossil fuel energy consumption (% of total)
2015,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2016,89.84,Canada,Individuals using the Internet (% of population)
2016,NA,Canada,Pump price for diesel fuel (US$ per liter)
2016,NA,Canada,Fossil fuel energy consumption (% of total)
2016,NA,Canada,Diabetes prevalence (% of population ages 20 to 79)
2017,NA,Canada,Individuals using the Internet (% of population)
